City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Accuracy Score,Continent,Subdivision,latitude,longitude,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road %,Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
Bremen,Germany,"617,011",Infrastructure,Best Area,93.3,1.0,104%,96%,94.3,6.8,78,EU,,53.08,8.81,207,889,0.396,871,0.305,18,0.006,883,0.309,0.166,0.214,2857,7428,3106,10816,0.3,17.6,15.1,13.5,31,60
Bremen,Germany,"617,011",Balanced,City Wide,87.9,2.1,103%,97%,90.2,5.2,78,EU,,53.08,8.81,165,780,0.415,763,0.321,17,0.007,731,0.307,0.154,0.211,2379,6895,2955,10059,0.3,15.5,13.6,12.0,28,57
Bremen,Germany,"617,011",Balanced,Best Area,90.0,0.8,104%,96%,90.8,6.8,78,EU,,53.08,8.81,207,889,0.396,871,0.305,18,0.006,883,0.309,0.166,0.214,2857,7428,3106,10816,0.3,17.6,15.1,13.5,26,57
Bremen,Germany,"617,011",Destination,City Wide,85.3,1.2,103%,97%,86.7,5.2,78,EU,,53.08,8.81,165,780,0.415,763,0.321,17,0.007,731,0.307,0.154,0.211,2379,6895,2955,10059,0.3,15.5,13.6,12.0,17,52
Bremen,Germany,"617,011",Destination,Best Area,86.5,0.5,104%,96%,87.0,6.8,78,EU,,53.08,8.81,207,888,0.395,870,0.305,18,0.006,884,0.31,0.166,0.213,2855,7438,3106,10829,0.3,17.6,15.0,13.6,9,46
Vienna,Austria,"2,020,320",Infrastructure,City Wide,83.0,2.8,95%,105%,86.1,-9.0,90,EU,,48.21,16.37,96,492,0.339,399,0.237,92,0.055,701,0.417,0.152,0.139,1683,19143,6882,28146,0.4,11.3,8.6,6.8,,-4
Vienna,Austria,"2,020,320",Infrastructure,Best Area,85.8,0.9,96%,104%,86.7,-7.8,90,EU,,48.21,16.37,127,575,0.312,467,0.214,107,0.049,932,0.427,0.155,0.154,2180,21076,7600,31073,0.3,12.0,9.5,8.4,,-5
Vienna,Austria,"2,020,320",Balanced,City Wide,87.6,2.2,95%,105%,90.1,-9.0,90,EU,,48.21,16.37,96,492,0.339,399,0.236,93,0.055,705,0.418,0.152,0.139,1688,19357,6958,28447,0.4,11.3,8.6,6.8,,2
Vienna,Austria,"2,020,320",Balanced,Best Area,89.8,0.6,96%,104%,90.4,-7.8,90,EU,,48.21,16.37,127,575,0.312,467,0.214,107,0.049,932,0.427,0.155,0.154,2180,21076,7600,31073,0.3,12.0,9.5,8.4,,2
Vienna,Austria,"2,020,320",Destination,City Wide,92.0,1.6,95%,105%,93.8,-9.0,90,EU,,48.21,16.37,96,491,0.338,398,0.236,93,0.055,706,0.418,0.152,0.139,1688,19427,6981,28545,0.4,11.2,8.6,6.8,,11
Vienna,Austria,"2,020,320",Destination,Best Area,93.6,0.4,96%,104%,94.0,-7.8,90,EU,,48.21,16.37,127,575,0.31,468,0.213,108,0.049,939,0.428,0.155,0.155,2193,21153,7619,31192,0.3,11.8,9.3,8.3,,10
Hanover,Germany,"578,042",Infrastructure,City Wide,89.2,1.2,102%,98%,90.5,2.9,94,EU,,52.37,9.74,153,702,0.378,681,0.29,21,0.009,820,0.349,0.142,0.21,2348,8055,4226,12235,0.4,15.3,14.4,9.6,7,
Hanover,Germany,"578,042",Infrastructure,Best Area,90.4,0.8,102%,98%,91.2,3.6,94,EU,,52.37,9.74,170,727,0.367,706,0.279,22,0.009,887,0.351,0.146,0.215,2526,8208,4266,12455,0.4,16.2,15.3,11.8,2,
Hanover,Germany,"578,042",Balanced,City Wide,87.8,0.8,102%,98%,88.7,2.9,94,EU,,52.37,9.74,153,701,0.378,680,0.29,21,0.009,819,0.349,0.142,0.21,2347,8055,4226,12236,0.4,15.3,14.5,9.6,6,
Hanover,Germany,"578,042",Balanced,Best Area,88.6,0.6,102%,98%,89.2,3.6,94,EU,,52.37,9.74,170,727,0.367,706,0.279,22,0.009,887,0.351,0.146,0.215,2526,8208,4266,12455,0.4,16.2,15.3,11.8,4,
Hanover,Germany,"578,042",Destination,City Wide,86.3,0.5,102%,98%,86.8,2.9,94,EU,,52.37,9.74,153,701,0.378,680,0.29,21,0.009,819,0.349,0.142,0.21,2347,8055,4226,12236,0.4,15.3,14.5,9.6,-3,
Hanover,Germany,"578,042",Destination,Best Area,86.8,0.3,102%,98%,87.1,3.6,94,EU,,52.37,9.74,168,725,0.367,703,0.28,22,0.009,884,0.352,0.145,0.213,2509,8221,4273,12472,0.4,16.5,15.7,11.4,-10,
Hamburg,Germany,"1,873,971",Infrastructure,City Wide,79.9,7.2,99%,100%,87.9,-0.9,83,EU,,53.55,10.00,74,439,0.429,405,0.341,34,0.029,407,0.343,0.149,0.138,1186,7565,3016,10650,0.4,9.8,7.6,6.2,38,
Hamburg,Germany,"1,873,971",Infrastructure,Best Area,87.1,2.1,99%,101%,89.2,-2.4,83,EU,,53.55,10.00,118,751,0.43,688,0.349,63,0.032,708,0.359,0.146,0.113,1970,13173,5491,18602,0.4,12.0,9.1,7.7,43,
Hamburg,Germany,"1,873,971",Balanced,City Wide,80.4,7.8,99%,100%,88.9,-0.9,83,EU,,53.55,10.00,74,438,0.429,404,0.341,34,0.029,407,0.343,0.149,0.137,1184,7607,3036,10709,0.4,9.7,7.5,6.1,33,
