City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road (miles),Shared Road %,Other (miles),Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
Munich,Germany,1669590.0,Balanced,Best Area,87.8,0.6,99%,101%,88.4,-2.2,,,0.376,678.0,0.302,,,866.0,0.386,,0.133,,,2246.0,13553.0,4391.0,18492.0,0.3,,,,,
Munich,Germany,1669590.0,Destination,City Wide,87.4,1.6,98%,102%,89.1,-3.1,,604.0,0.385,584.0,0.314,,,722.0,0.389,,0.131,,,1856.0,12031.0,3869.0,16376.0,0.3,,,,,3.0
Munich,Germany,1669590.0,Destination,Best Area,89.0,0.3,99%,101%,89.3,-2.2,,,0.374,667.0,0.301,,,866.0,0.391,,0.131,,,2213.0,13899.0,4552.0,18970.0,0.3,,,,,
Oldenburg,Germany,176614.0,Infrastructure,City Wide,91.9,3.1,107%,92%,95.6,12.6,197.0,803.0,0.516,527.0,0.253,,0.001,,,753.00,,526.7,,2082.0,,,,,16.4,14.6,13.6,,
Oldenburg,Germany,176614.0,Infrastructure,Best Area,95.0,2.0,108%,92%,97.0,14.0,244.0,935.0,0.514,601.0,0.24,,0.001,,,884.00,,686.5,,2506.0,,,,,17.5,16.4,15.6,,
Oldenburg,Germany,176614.0,Balanced,City Wide,85.8,2.5,107%,92%,88.8,12.6,197.0,803.0,0.516,527.0,0.253,,0.001,,,753.00,,526.7,,2082.0,,,,,16.4,14.6,13.6,,
Oldenburg,Germany,176614.0,Balanced,Best Area,88.3,1.6,108%,92%,89.9,14.0,244.0,935.0,0.514,601.0,0.24,,0.001,,,884.00,,686.5,,2506.0,,,,,17.5,16.4,15.6,,
Oldenburg,Germany,176614.0,Destination,City Wide,79.3,1.7,107%,92%,81.3,12.6,197.0,803.0,0.516,527.0,0.253,,0.001,,,753.00,,526.7,,2082.0,,,,,16.4,14.6,13.6,,
Oldenburg,Germany,176614.0,Destination,Best Area,81.0,1.2,108%,92%,82.2,14.0,244.0,935.0,0.514,603.0,0.241,,0.001,,,884.00,,682.6,,2502.0,,,,,17.3,16.4,15.6,,
Nuremberg,Germany,544414.0,Infrastructure,City Wide,84.7,2.9,99%,101%,87.9,-1.7,,,,,,,,,,566.20,,476.7,,,,,,0.2,,9.5,8.1,,
Nuremberg,Germany,544414.0,Infrastructure,Best Area,87.6,1.1,100%,100%,88.7,-0.3,,,,,,,,,,731.30,,676.3,,,,,,0.2,,,9.6,,
Nuremberg,Germany,544414.0,Balanced,City Wide,85.5,2.2,99%,101%,87.9,-1.7,,,,,,,,,,565.50,,474.6,,,,,,0.2,,,8.1,,
Nuremberg,Germany,544414.0,Balanced,Best Area,87.7,1.0,100%,100%,88.7,-0.3,,,,,,,,,,729.30,,664.8,,,,,,0.2,,,9.6,,
Nuremberg,Germany,544414.0,Destination,City Wide,86.4,1.5,99%,101%,87.9,-1.7,,,,,,,,,,564.80,,471.5,,,,,,0.2,,,8.1,,
Nuremberg,Germany,544414.0,Destination,Best Area,87.9,0.9,100%,100%,88.8,-0.3,,,,,,,,,,718.90,,630.5,0.336,,,,,0.2,,,9.6,,
Freiburg,Germany,236236.0,Infrastructure,City Wide,86.8,2.4,102%,98%,89.3,3.5,107.0,,,,,,,316.0,,,,738.2,0.425,1735.0,,,,0.2,,,,,
Freiburg,Germany,236236.0,Infrastructure,Best Area,89.2,0.8,103%,97%,90.0,4.4,133.0,,,,,,,382.0,,,,962.3,0.445,,,,,0.2,,,,,
Freiburg,Germany,236236.0,Balanced,City Wide,85.1,1.9,102%,98%,87.0,3.5,107.0,,,,,,,315.0,,,,735.9,0.425,1732.0,,,,0.2,,,,,
Freiburg,Germany,236236.0,Balanced,Best Area,87.0,0.6,103%,97%,87.6,4.4,133.0,,,,,,,382.0,,,,962.4,0.446,,,,,0.2,,,,,
Freiburg,Germany,236236.0,Destination,City Wide,83.3,1.5,102%,98%,84.8,3.5,106.0,,,,,,,310.0,,,,725.7,0.423,1714.0,,,,0.2,,,,,
